Epoch,Mean Loss,Train Top1 Acc,Test Accuracy,Epoch Time
0,0.07478018785680753,0.9627,0.9627,108.2490902
1,0.029346678344375803,0.9723,0.9723,98.1350314
2,0.02295742310352997,0.973,0.973,108.9220226
3,0.02168382434303631,0.9723,0.9723,95.3217324
4,0.0205437259682978,0.9694,0.9694,94.5397544
5,0.019346985695615267,0.9781,0.9781,103.0908295
6,0.01746041400073814,0.972,0.972,110.1370907
7,0.01735062492870216,0.9768,0.9768,116.8241088
8,0.015720434940103025,0.9792,0.9792,112.9755919
9,0.016122711072959157,0.9798,0.9798,119.0115667
